freq,fx,gx,gy,hc,hs,l,lalti,lbes,lk,ls,luc,ol,ox,wfx,wiki,wk,wx,wy,real,ima,mag,db
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,6.0,34.0,104.0,100.0,-0.6188015341758728,-0.04429344832897186,0.6203847582454659,-4.146777611469156
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,6.0,34.0,104.0,100.0,-0.6672714352607727,0.05809178948402405,0.6697953600320233,-3.481157306704414
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,6.0,34.0,104.0,100.0,-0.673724889755249,0.15651412308216095,0.691666030537788,-3.202071061885636
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,8.0,34.0,104.0,100.0,-0.46853888034820557,-0.07865317165851593,0.4750947314061629,-6.464395713818288
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,8.0,34.0,104.0,100.0,-0.596974790096283,0.012295817956328392,0.5971014044111069,-4.479038146711856
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,8.0,34.0,104.0,100.0,-0.6393629908561707,0.12651140987873077,0.6517592890830571,-3.7182554082171366
869.0,2.0,116.0,116.0,0.2,1.6,10.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,8.0,34.0,104.0,100.0,-0.6357713341712952,0.220617413520813,0.6729615386502873,-3.4401951205505226
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.23661310970783234,0.0019819107837975025,0.2366214099695242,-12.518919242264197
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.2605077624320984,0.006052912678569555,0.260578072828995,-11.681242643537386
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.2797470688819885,0.015443811193108559,0.28017304269367604,-11.051473067842084
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,2.0,34.0,98.0,100.0,-0.28797364234924316,0.021732348948717117,0.2887925097344435,-10.78828150066184
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.20846906304359436,0.004965530708432198,0.20852819171874698,-13.616704455988963
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.23216554522514343,0.00902504101395607,0.23234089557155388,-12.677486819243818
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.24584855139255524,0.014325849711894989,0.24626558872848167,-12.171925378273635
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,4.0,34.0,98.0,100.0,-0.25849491357803345,0.026032056659460068,0.2598024024516254,-11.70713674450079
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.18134130537509918,0.008349034935235977,0.181533400286269,-14.82086915079412
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.20507825911045074,0.012457973323762417,0.20545630547420235,-13.745610513145136
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.2183113396167755,0.01864461600780487,0.2191060535707528,-13.186912467402479
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,6.0,34.0,98.0,100.0,-0.2268940955400467,0.02426874451339245,0.22818830502721243,-12.834132351055468
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,8.0,34.0,98.0,100.0,-0.15453679859638214,0.011740308254957199,0.15498211818897106,-16.194368155285442
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,8.0,34.0,98.0,100.0,-0.17838256061077118,0.01632947474718094,0.1791284167170979,-14.936710254601813
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,8.0,34.0,98.0,100.0,-0.1914769858121872,0.022647129371762276,0.19281164011672602,-14.297335022163102
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,9.0,20.0,58.0,28.0,3.0,8.0,34.0,98.0,100.0,-0.2002277970314026,0.028226597234606743,0.20220759504898242,-13.88405072110061
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,3.0,20.0,58.0,28.0,3.0,2.0,34.0,100.0,100.0,-0.15882274508476257,0.0385991632938385,0.1634458924636648,-15.732519782832187
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,5.0,20.0,58.0,28.0,3.0,2.0,34.0,100.0,100.0,-0.1576545387506485,0.036897167563438416,0.16191465209450373,-15.814276979736055
869.0,2.0,116.0,116.0,0.2,1.6,11.0,25.0,24.0,30.0,7.0,20.0,58.0,28.0,3.0,2.0,34.0,100.0,100.0,-0.15657824277877808,0.034315481781959534,0.16029441163564612,-15.90163236490807
